timestamp, airPressureHectoPascals, ambientTemperatureCelsius, absoluteAltituteMeters
11:16:10.429,1007.68,29.0,46.477596
11:16:10.490,1007.68,29.0,46.477596
11:16:10.520,1007.68,29.0,46.477596
11:16:10.536,1007.68,29.0,46.477596
11:16:10.565,1007.68,29.0,46.477596
11:16:10.575,1007.68,29.0,46.477596
11:16:10.591,1007.68,29.0,46.477596
11:16:10.634,1007.68,29.0,46.477596
11:16:10.688,1007.77997,29.0,45.639996
11:16:10.712,1007.72,29.0,46.14203
11:16:10.730,1007.75995,29.0,45.80646
11:16:10.744,1007.75995,29.0,45.80646
11:16:10.767,1007.66,29.0,46.644062
11:16:10.792,1007.66,29.0,46.644062
11:16:10.807,1007.74,29.0,45.975567
11:16:10.827,1007.74,29.0,45.975567
11:16:10.829,1007.74,29.0,45.975567
11:16:10.832,1007.74,29.0,45.975567
11:16:10.857,1007.74,29.0,45.975567
11:16:10.873,1007.74,29.0,45.975567
11:16:10.875,1007.77997,29.0,45.639996
11:16:10.878,1007.77997,29.0,45.639996
11:16:10.892,1007.77997,29.0,45.639996
11:16:10.906,1007.77997,29.0,45.639996
11:16:10.925,1007.77997,29.0,45.639996
11:16:10.941,1007.8,29.0,45.473534
11:16:10.952,1007.8,29.0,45.473534
11:16:10.967,1007.74,29.0,45.975567
11:16:10.986,1007.74,29.0,45.975567
11:16:11.001,1007.74,29.0,45.975567
11:16:11.003,1007.72,29.0,46.14203
11:16:11.017,1007.72,29.0,46.14203
11:16:11.057,1007.72,29.0,46.14203
11:16:11.066,1007.74,29.0,45.975567
11:16:11.073,1007.74,29.0,45.975567
11:16:11.087,1007.74,29.0,45.975567
11:16:11.103,1007.88,29.0,44.80504
11:16:11.117,1007.88,29.0,44.80504
11:16:11.136,1007.88,29.0,44.80504
11:16:11.149,1007.82,29.0,45.30443
11:16:11.168,1007.82,29.0,45.30443
11:16:11.187,1007.77997,29.0,45.639996
11:16:11.203,1007.77997,29.0,45.639996
11:16:11.220,1007.77997,29.0,45.639996
11:16:11.224,1007.8,29.0,45.473534
11:16:11.225,1007.8,29.0,45.473534
11:16:11.237,1007.8,29.0,45.473534
11:16:11.254,1007.8,29.0,45.473534
11:16:11.266,1007.77997,29.0,45.639996
11:16:11.283,1007.77997,29.0,45.639996
11:16:11.302,1007.77997,29.0,45.639996
11:16:11.316,1007.72,29.0,46.14203
11:16:11.332,1007.72,29.0,46.14203
11:16:11.348,1007.72,29.0,46.14203
11:16:11.350,1007.75995,29.0,45.80646
11:16:11.353,1007.75995,29.0,45.80646
11:16:11.368,1007.75995,29.0,45.80646
11:16:11.388,1007.74,29.0,45.975567
11:16:11.398,1007.74,29.0,45.975567
11:16:11.416,1007.74,29.0,45.975567
11:16:11.436,1007.74,29.0,45.975567
11:16:11.439,1007.74,29.0,45.975567
11:16:11.440,1007.74,29.0,45.975567
11:16:11.453,1007.74,29.0,45.975567
11:16:11.468,1007.74,29.0,45.975567
11:16:11.486,1007.74,29.0,45.975567
11:16:11.502,1007.74,29.0,45.975567
11:16:11.516,1007.74,29.0,45.975567
11:16:11.532,1007.74,29.0,45.975567
11:16:11.549,1007.74,29.0,45.975567
11:16:11.565,1007.74,29.0,45.975567
11:16:11.582,1007.77997,29.0,45.639996
11:16:11.598,1007.77997,29.0,45.639996
11:16:11.601,1007.74,29.0,45.975567
11:16:11.615,1007.74,29.0,45.975567
11:16:11.636,1007.74,29.0,45.975567
11:16:11.653,1007.74,29.0,45.975567
11:16:11.665,1007.72,29.0,46.14203
